Duration,Country,Device Type,Title,Duracion total,Start Time,clean_title,Season,Episode,Supplemental Video Type,genres,Original language,popularity,popularity_category
0:46:45,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Por la medalla (episodio 8),0:46:45,3/1/2026 15:54,Bailando sobre hielo: Por la medalla,1,8,SERIE,['Drama'],en,9.3416,Poco visto
0:25:02,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Sostener la caída (episodio 7),0:40:34,3/1/2026 15:01,Bailando sobre hielo: Sostener la caída,1,7,SERIE,['Drama'],en,9.3416,Poco visto
0:15:32,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Sostener la caída (episodio 7),0:40:34,3/1/2026 13:34,Bailando sobre hielo: Sostener la caída,1,7,SERIE,['Drama'],en,9.3416,Poco visto
0:44:14,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Caminos que se cruzan (episodio 6),0:44:14,2/28/2026 16:16,Bailando sobre hielo: Caminos que se cruzan,1,6,SERIE,['Drama'],en,9.3416,Poco visto
0:00:04,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Perdiendo el eje (episodio 5),0:37:52,2/28/2026 16:16,Bailando sobre hielo: Perdiendo el eje,1,5,SERIE,['Drama'],en,9.3416,Poco visto
0:37:48,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Perdiendo el eje (episodio 5),0:37:52,2/28/2026 15:04,Bailando sobre hielo: Perdiendo el eje,1,5,SERIE,['Drama'],en,9.3416,Poco visto
0:43:47,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Besos y lágrimas (episodio 4),0:43:47,2/28/2026 14:20,Bailando sobre hielo: Besos y lágrimas,1,4,SERIE,['Drama'],en,9.3416,Poco visto
0:00:14,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Temporada 1 (Tráiler): Bailando sobre hielo,0:00:39,2/28/2026 3:57,Temporada 1: Bailando sobre hielo,1,,TRAILER,,,,
0:42:09,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Los bordes internos (episodio 3),0:42:09,2/27/2026 16:24,Bailando sobre hielo: Los bordes internos,1,3,SERIE,['Drama'],en,9.3416,Poco visto
0:44:47,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: Rozando el hielo (episodio 2),0:44:47,2/27/2026 1:20,Bailando sobre hielo: Rozando el hielo,1,2,SERIE,['Drama'],en,9.3416,Poco visto
0:38:55,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bailando sobre hielo: Temporada 1: De vuelta a las pistas (episodio 1),0:38:55,2/26/2026 20:17,Bailando sobre hielo: De vuelta a las pistas,1,1,SERIE,['Drama'],en,9.3416,Poco visto
0:00:13,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: La propuesta de un caballero (episodio 4),0:59:08,2/26/2026 20:16,Bridgerton: La propuesta de un caballero,4,4,SERIE,['Drama'],en,135.4639,Muy popular
0:35:19,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Él y ella: Miniserie: Episodio 6 (episodio 6),0:35:19,2/26/2026 0:17,Él y ella,1,6,SERIE,"['Comedy', 'Drama']",es,1.1576,Poco visto
0:40:00,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Él y ella: Miniserie: Episodio 5 (episodio 5),0:40:00,2/25/2026 1:28,Él y ella,1,5,SERIE,"['Comedy', 'Drama']",es,1.1576,Poco visto
0:43:16,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Él y ella: Miniserie: Episodio 4 (episodio 4),0:43:16,2/24/2026 20:06,Él y ella,1,4,SERIE,"['Comedy', 'Drama']",es,1.1576,Poco visto
0:36:12,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Él y ella: Miniserie: Episodio 3 (episodio 3),0:36:12,2/23/2026 23:56,Él y ella,1,3,SERIE,"['Comedy', 'Drama']",es,1.1576,Poco visto
0:41:02,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Él y ella: Miniserie: Episodio 2 (episodio 2),0:41:02,2/23/2026 22:46,Él y ella,1,2,SERIE,"['Comedy', 'Drama']",es,1.1576,Poco visto
0:42:35,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Él y ella: Miniserie: Episodio 1 (episodio 1),0:42:35,2/23/2026 20:23,Él y ella,1,1,SERIE,"['Comedy', 'Drama']",es,1.1576,Poco visto
0:52:54,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,La cruda realidad: Dentro de «America's Next Top Model»: Temporada 1: Todos te alientan (episodio 3),0:52:54,2/19/2026 20:51,La cruda realidad: Dentro de «America's Next Top Model»,1,3,SERIE,['Documentary'],es,0.0489,Poco visto
0:48:11,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,La cruda realidad: Dentro de «America's Next Top Model»: Temporada 1: Sigues en carrera (episodio 2),0:48:11,2/18/2026 20:41,La cruda realidad: Dentro de «America's Next Top Model»,1,2,SERIE,['Documentary'],es,0.0489,Poco visto
0:57:39,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,La cruda realidad: Dentro de «America's Next Top Model»: Temporada 1: En la cima (episodio 1),0:57:39,2/17/2026 21:08,La cruda realidad: Dentro de «America's Next Top Model»,1,1,SERIE,['Documentary'],es,0.0489,Poco visto
0:58:55,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Bridgerton: Temporada 4: La propuesta de un caballero (episodio 4),0:59:08,2/12/2026 1:03,Bridgerton: La propuesta de un caballero,4,4,SERIE,['Drama'],en,135.4639,Muy popular
1:06:30,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Bridgerton: Temporada 4: El campo junto al otro camino (episodio 3),1:06:30,2/11/2026 23:55,Bridgerton: El campo junto al otro camino,4,3,SERIE,['Drama'],en,135.4639,Muy popular
1:01:45,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Bridgerton: Temporada 4: El tiempo suspendido (episodio 2),1:01:45,2/10/2026 20:38,Bridgerton: El tiempo suspendido,4,2,SERIE,['Drama'],en,135.4639,Muy popular
0:00:09,AR (Argentina),Apple iPhone 16 Pro iPhone,Avance 3: Wake Up Dead Man: Un misterio de Knives Out,0:01:17,2/1/2026 14:54,Avance 3: Wake Up Dead Man,,,TEASER_TRAILER,,,,
0:00:48,AR (Argentina),Apple iPhone 16 Pro iPhone,Avance 3: Wake Up Dead Man: Un misterio de Knives Out,0:01:17,2/1/2026 14:53,Avance 3: Wake Up Dead Man,,,TEASER_TRAILER,,,,
0:00:20,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Temporada 1 (Tráiler): Bailando sobre hielo,0:00:39,1/31/2026 2:51,Temporada 1: Bailando sobre hielo,1,,TRAILER,,,,
0:00:05,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Temporada 1 (Tráiler): Bailando sobre hielo,0:00:39,1/31/2026 2:51,Temporada 1: Bailando sobre hielo,1,,TRAILER,,,,
0:00:15,AR (Argentina),Apple iPhone 16 Pro iPhone,Avance 3: Wake Up Dead Man: Un misterio de Knives Out,0:01:17,1/18/2026 2:24,Avance 3: Wake Up Dead Man,,,TEASER_TRAILER,,,,
2:17:48,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Wake Up Dead Man: Un misterio de Knives Out,2:17:48,1/16/2026 0:24,Wake Up Dead Man: Un misterio de Knives Out,,,FILM,"['Thriller', 'Mystery', 'Comedy']",en,14.7264,Moderadamente popular
0:00:05,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Avance 3: Wake Up Dead Man: Un misterio de Knives Out,0:01:17,1/15/2026 18:48,Avance 3: Wake Up Dead Man,,,TEASER_TRAILER,,,,
0:03:00,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Amor de oficina: Temporada 1: Luna de miel (episodio 3),0:16:51,1/14/2026 22:49,Amor de oficina: Luna de miel,1,3,SERIE,['Comedy'],es,3.3393,Poco visto
0:13:51,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Amor de oficina: Temporada 1: Luna de miel (episodio 3),0:16:51,1/12/2026 0:34,Amor de oficina: Luna de miel,1,3,SERIE,['Comedy'],es,3.3393,Poco visto
0:00:53,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Amor de oficina: Temporada 1: Sacapuntas (episodio 2),0:33:44,1/11/2026 22:20,Amor de oficina: Sacapuntas,1,2,SERIE,['Comedy'],es,3.3393,Poco visto
0:32:51,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Amor de oficina: Temporada 1: Sacapuntas (episodio 2),0:33:44,1/11/2026 21:47,Amor de oficina: Sacapuntas,1,2,SERIE,['Comedy'],es,3.3393,Poco visto
0:34:59,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Amor de oficina: Temporada 1: Amor frutal (episodio 1),0:35:05,1/11/2026 21:02,Amor de oficina: Amor frutal,1,1,SERIE,['Comedy'],es,3.3393,Poco visto
0:00:38,AR (Argentina),Apple iPhone 16 Pro iPhone,Clip 4: Gente que conocemos en vacaciones,0:00:38,1/11/2026 20:57,Clip 4: Gente que conocemos en vacaciones,,,HOOK,,,,
1:49:17,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Gente que conocemos en vacaciones,1:49:17,1/11/2026 16:45,Gente que conocemos en vacaciones,,,FILM,"['Romance', 'Comedy', 'Drama']",en,16.3356,Moderadamente popular
0:38:12,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Machos alfa: Temporada 4: Caribe mágico (episodio 6),0:38:12,1/11/2026 15:36,Machos alfa: Caribe mágico,4,6,SERIE,['Comedy'],es,15.0534,Moderadamente popular
0:36:18,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Machos alfa: Temporada 4: Rezaré por ti (episodio 5),0:36:18,1/11/2026 14:39,Machos alfa: Rezaré por ti,4,5,SERIE,['Comedy'],es,15.0534,Moderadamente popular
0:35:28,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Machos alfa: Temporada 4: Siempre se puede ser un poco más hetero (episodio 4),0:35:28,1/10/2026 14:15,Machos alfa: Siempre se puede ser un poco más hetero,4,4,SERIE,['Comedy'],es,15.0534,Moderadamente popular
0:33:54,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Machos alfa: Temporada 4: Ecos de una herida (episodio 3),0:33:54,1/10/2026 13:40,Machos alfa: Ecos de una herida,4,3,SERIE,['Comedy'],es,15.0534,Moderadamente popular
0:00:06,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Amor de oficina: Temporada 1: Amor frutal (episodio 1),0:35:05,1/10/2026 13:40,Amor de oficina: Amor frutal,1,1,SERIE,['Comedy'],es,3.3393,Poco visto
0:31:41,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Machos alfa: Temporada 4: Marca España (episodio 2),0:31:41,1/10/2026 1:56,Machos alfa: Marca España,4,2,SERIE,['Comedy'],es,15.0534,Moderadamente popular
0:30:22,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Machos alfa: Temporada 4: Al final hay que meterla (episodio 1),0:30:23,1/10/2026 1:26,Machos alfa: Al final hay que meterla,4,1,SERIE,['Comedy'],es,15.0534,Moderadamente popular
0:00:01,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Machos alfa: Temporada 4: Al final hay que meterla (episodio 1),0:30:23,1/10/2026 1:25,Machos alfa: Al final hay que meterla,4,1,SERIE,['Comedy'],es,15.0534,Moderadamente popular
0:20:33,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Younger: Temporada 1: Piloto (episodio 1),0:20:33,1/4/2026 20:08,Younger: Piloto,1,1,SERIE,"['Drama', 'Comedy']",en,40.8083,Moderadamente popular
0:29:33,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,El tiempo de las moscas: Temporada 1: Hoy empiezo de nuevo (episodio 1),0:29:33,1/4/2026 17:22,El tiempo de las moscas: Hoy empiezo de nuevo,1,1,SERIE,"['Drama', 'Comedy', 'Crime']",es,2.7689,Poco visto
1:59:11,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Stranger Things: Stranger Things 5: Capítulo ocho: Este Lado (episodio 8),1:59:11,1/4/2026 2:43,Stranger Things: Stranger Things 5,1,8,SERIE,"['Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']",en,167.8164,Muy popular
0:59:32,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Stranger Things: Stranger Things 5: Capítulo siete: El puente (episodio 7),0:59:40,1/3/2026 3:33,Stranger Things: Stranger Things 5,1,7,SERIE,"['Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']",en,167.8164,Muy popular
0:00:08,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Stranger Things: Stranger Things 5: Capítulo siete: El puente (episodio 7),0:59:40,1/3/2026 3:32,Stranger Things: Stranger Things 5,1,7,SERIE,"['Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']",en,167.8164,Muy popular
1:09:18,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Stranger Things: Stranger Things 5: Capítulo seis: La huida de Camazotz (episodio 6),1:09:18,1/2/2026 16:32,Stranger Things: Stranger Things 5,1,6,SERIE,"['Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']",en,167.8164,Muy popular
0:00:07,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Clip 2 Part 2: Stranger Things 5,0:00:07,1/2/2026 16:32,Clip 2 Part 2: Stranger Things 5,,,HOOK,,,,
0:41:06,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Soulmates: Temporada 1: Pequeñas aventuras (episodio 3),0:41:06,12/23/2025 18:50,Soulmates: Pequeñas aventuras,1,3,SERIE,"['Sci-Fi & Fantasy', 'Crime', 'Drama']",en,5.3518,Poco visto
0:00:05,AR (Argentina),Apple iPad Pro 11 4th Gen Wi-Fi iPad,Soulmates: Season 1_hook_01,0:00:05,12/23/2025 16:39,Soulmates: Season 1_hook_01,,,HOOK,,,,
0:41:34,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Soulmates: Temporada 1: Los amantes (episodio 2),0:41:34,12/23/2025 15:49,Soulmates: Los amantes,1,2,SERIE,"['Sci-Fi & Fantasy', 'Crime', 'Drama']",en,5.3518,Poco visto
0:44:13,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Soulmates: Temporada 1: Punto de inflexión (episodio 1),0:44:13,12/23/2025 14:46,Soulmates: Punto de inflexión,1,1,SERIE,"['Sci-Fi & Fantasy', 'Crime', 'Drama']",en,5.3518,Poco visto
0:11:56,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Ciudad de sombras: Miniserie: Casa Milà - La Pedrera (episodio 1),0:11:56,12/23/2025 14:31,Ciudad de sombras,1,1,SERIE,"['Crime', 'Mystery']",es,11.8233,Moderadamente popular
0:05:51,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Demasiado: Temporada 1: Ignorantes del amanecer (episodio 3),0:05:54,12/23/2025 13:19,Demasiado: Ignorantes del amanecer,1,3,SERIE,,,,
0:00:03,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Demasiado: Temporada 1: Ignorantes del amanecer (episodio 3),0:05:54,12/23/2025 0:37,Demasiado: Ignorantes del amanecer,1,3,SERIE,,,,
0:22:12,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Demasiado: Temporada 1: Mujer penita (episodio 2),0:36:21,12/23/2025 0:05,Demasiado: Mujer penita,1,2,SERIE,,,,
0:14:09,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Demasiado: Temporada 1: Mujer penita (episodio 2),0:36:21,12/22/2025 16:45,Demasiado: Mujer penita,1,2,SERIE,,,,
0:34:33,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Demasiado: Temporada 1: Insensatez y sentimientos (episodio 1),0:34:33,12/22/2025 16:09,Demasiado: Insensatez y sentimientos,1,1,SERIE,,,,
0:53:30,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: La decisión de Sophie (episodio 8),0:53:30,12/21/2025 19:35,Las esposas cazadoras: La decisión de Sophie,1,8,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
0:41:27,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: Estrella fugaz (episodio 7),0:45:20,12/21/2025 18:37,Las esposas cazadoras: Estrella fugaz,1,7,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
0:03:53,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: Estrella fugaz (episodio 7),0:45:20,12/21/2025 16:07,Las esposas cazadoras: Estrella fugaz,1,7,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
0:47:25,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: En el corazón de Texas (episodio 6),0:47:25,12/21/2025 13:59,Las esposas cazadoras: En el corazón de Texas,1,6,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
1:20:15,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Stranger Things: Stranger Things 5: Capítulo cuatro: Hechicero (episodio 4),1:20:15,12/21/2025 3:51,Stranger Things: Stranger Things 5,1,4,SERIE,"['Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']",en,167.8164,Muy popular
1:02:55,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Stranger Things: Stranger Things 5: Capítulo tres: La trampa de Turnbow (episodio 3),1:02:55,12/21/2025 2:47,Stranger Things: Stranger Things 5,1,3,SERIE,"['Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']",en,167.8164,Muy popular
0:46:21,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: No es una novata (episodio 5),0:46:25,12/21/2025 1:27,Las esposas cazadoras: No es una novata,1,5,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
0:00:04,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: No es una novata (episodio 5),0:46:25,12/21/2025 1:23,Las esposas cazadoras: No es una novata,1,5,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
0:43:40,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: Día libre (episodio 4),0:43:40,12/21/2025 0:26,Las esposas cazadoras: Día libre,1,4,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
0:13:56,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: Todo se revela al amanecer (episodio 3),0:50:42,12/20/2025 23:46,Las esposas cazadoras: Todo se revela al amanecer,1,3,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
0:14:09,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: Todo se revela al amanecer (episodio 3),0:50:42,12/20/2025 20:01,Las esposas cazadoras: Todo se revela al amanecer,1,3,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
0:22:37,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: Todo se revela al amanecer (episodio 3),0:50:42,12/20/2025 19:16,Las esposas cazadoras: Todo se revela al amanecer,1,3,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
0:47:29,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: Relaciones (episodio 2),0:47:29,12/20/2025 18:28,Las esposas cazadoras: Relaciones,1,2,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
0:49:24,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Las esposas cazadoras: Temporada 1: Lugares extraños y desconocidos (episodio 1),0:49:24,12/20/2025 17:10,Las esposas cazadoras: Lugares extraños y desconocidos,1,1,SERIE,"['Drama', 'Mystery']",en,8.256,Poco visto
0:51:20,AR (Argentina),Samsung 2017 Kant-M UHD TV Smart TV,Stranger Things: Stranger Things 5: Capítulo Dos: La Desaparición de Holly Wheeler (episodio 2),0:51:20,12/20/2025 1:53,Stranger Things: Stranger Things 5,1,2,SERIE,"['Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']",en,167.8164,Muy popular
